20020630 235957;0.995200;0
20020701 000214;0.995100;0
20020701 000241;0.995100;0
20020701 000321;0.994900;0
20020701 000323;0.995000;0
20020701 000325;0.994900;0
20020701 000327;0.995000;0
20020701 000328;0.994900;0
20020701 000335;0.994800;0
20020701 000344;0.994700;0
20020701 000440;0.994800;0
20020701 000512;0.994800;0
20020701 000633;0.994700;0
20020701 000650;0.994700;0
20020701 000918;0.994700;0
20020701 000923;0.994800;0
20020701 001120;0.994800;0
20020701 001216;0.994700;0
20020701 001220;0.994700;0
20020701 001623;0.994600;0
20020701 001641;0.994700;0
20020701 001917;0.994800;0
20020701 001923;0.994800;0
20020701 001932;0.994800;0
20020701 002035;0.994700;0
20020701 002047;0.994600;0
20020701 002048;0.994500;0
20020701 002116;0.994700;0
20020701 002212;0.994800;0
20020701 002328;0.994700;0
20020701 002428;0.994700;0
20020701 002434;0.994600;0
20020701 002510;0.994600;0
20020701 002519;0.994500;0
20020701 002553;0.994700;0
20020701 002609;0.994600;0
20020701 003036;0.994500;0
20020701 003058;0.994500;0
20020701 003106;0.994400;0
20020701 003303;0.994400;0
20020701 003334;0.994400;0
20020701 003444;0.994300;0
20020701 003450;0.994200;0
20020701 003459;0.994100;0
20020701 003548;0.994100;0
20020701 003557;0.994000;0
20020701 003600;0.993900;0
20020701 003833;0.994000;0
20020701 003912;0.994000;0
20020701 003945;0.994100;0
20020701 004006;0.994000;0
20020701 004016;0.994000;0
20020701 004019;0.993900;0
20020701 004032;0.994100;0
20020701 004042;0.994000;0
20020701 004224;0.994000;0
20020701 004234;0.993900;0
20020701 004316;0.994000;0
20020701 004455;0.994000;0
20020701 004616;0.994100;0
20020701 004619;0.994100;0
20020701 004627;0.994100;0
20020701 004810;0.994000;0
20020701 004839;0.994000;0
20020701 004841;0.993900;0
20020701 004924;0.994100;0
20020701 005145;0.994000;0
20020701 005333;0.994100;0
20020701 010024;0.994200;0
20020701 010038;0.994200;0
20020701 010126;0.994100;0
20020701 010649;0.994200;0
20020701 010724;0.994200;0
20020701 010745;0.994400;0
20020701 010749;0.994400;0
20020701 010813;0.994500;0
20020701 010826;0.994500;0
20020701 010855;0.994600;0
20020701 010857;0.994500;0
20020701 010913;0.994400;0
20020701 010930;0.994400;0
20020701 010944;0.994300;0
20020701 011112;0.994200;0
20020701 011216;0.994100;0
20020701 011410;0.994200;0
20020701 011420;0.994300;0
20020701 011421;0.994400;0
20020701 011428;0.994300;0
20020701 011449;0.994400;0
20020701 011452;0.994400;0
20020701 011513;0.994400;0
20020701 011639;0.994500;0
20020701 011646;0.994600;0
20020701 011648;0.994600;0
